Serial Number,Chinese Full Name,English Name,Geological time,Other names,Notes,location,location,location,location,location,location,location,location,location,location,location,location,location,location,location,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock
130024,近周营组,Jinzhouying Fm,Ar3,,,shanxi,,,,,,,,,,,,,,,玄武岩,变玄武岩,变火山岩,片岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130025,阚集杂岩,Kanji Complex,Ar3,,,anhui,,,,,,,,,,,,,,,片岩,片麻岩,角闪片岩,石英片岩,斜长片麻岩,黑云斜长片麻岩,角闪岩,斜长角闪岩,大理岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130026,老潭沟组,Laotangou Fm,Ar3,土楼组,,shanxi,,,,,,,,,,,,,,,片岩,角闪片岩,变粒岩,黑云变粒岩,角闪岩,斜长角闪岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130027,林家寨(岩)组,Linjiazhai Fm,Ar3,,,shandong,,,,,,,,,,,,,,,浅粒岩,变粒岩,黑云变粒岩,角闪黑云变粒岩,角闪岩,斜长角闪岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130028,柳杭组,Liuhang Fm,Ar3,,,shandong,,,,,,,,,,,,,,,砾岩,变质砾岩,片岩,变粒岩,黑云变粒岩,角闪黑云变粒岩,角闪岩,斜长角闪岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130029,龙泉关(岩)群,Longquanguan Gr,Ar3,榆林坪(岩)组,,hebei,shanxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130030,芦嘴头组,Luzuitou Fm,Ar3,,,shanxi,,,,,,,,,,,,,,,长石石英岩,片岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130031,鹿角庙组,Lujiaomiao Fm,Ar3,,,shanxi,,,,,,,,,,,,,,,片岩,石英片岩,石英岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130032,吕梁群,L¨liang Gr,Ar3,,,shanxi,,,,,,,,,,,,,,,玄武岩,流纹岩,凝灰岩,碎屑岩,砾岩,砂岩,石英砂岩,长石石英岩,粉砂岩,碳酸盐岩,变质砾岩,变质砂岩,片岩,片麻岩,千枚岩,角闪片岩,斜长角闪片岩,绿片岩,石英片岩,斜长片麻岩,角闪斜长片麻岩,铁英岩,浅粒岩,黑云浅粒岩,变粒岩,黑云变粒岩,角闪岩,斜长角闪岩,大理岩,混合岩,,,,,,,,,,,,,,,,,,,,,,
130033,滦县(岩)群,Luanxian Gr,Ar3,八道河群、卢龙群、司家营群、燕窝铺组、白庙组等,,hebei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
